acc	CpC	CpG	CpU	CpA	GpC	GpG	GpU	GpA	UpC	UpG	UpU	UpA	ApC	ApG	ApU	ApA
KF815939.1	1.1020729541183554	0.5766443316228191	1.2151609102566199	1.274642323335241	0.9209513839995509	0.9929650850383509	0.8931877373994286	1.1538588612549154	0.9463593195051556	1.4288199441287561	1.023756811389139	0.4938081066388438	1.060184184809366	1.0043047799002103	0.946032372718627	0.9901108002291064
AF331718.1	1.0833393814527377	0.5381995772047301	1.2413448633806843	1.3097308808991308	0.8732551963468905	1.0619477852098507	0.8673475243001041	1.1538325654100232	1.0593067710908493	1.3531719287340231	0.9973153343815665	0.4880497232843793	1.0358002391424497	1.0325042199410408	0.9529438027632953	0.9668700096844786
AJ299445.1	1.1715475798720965	0.30543334552916745	1.2553350436030408	1.2789613379882578	0.8726667015119071	1.106671507018697	0.853684274571093	1.1147614158200045	1.0219211839331004	1.437856045792017	1.085103115515013	0.5247553734188019	0.987574512007304	0.9431660450442177	0.8966576908188243	1.1498692217269995
M91671.1	1.0370845241486792	0.798195429131552	1.036941206854771	1.1533588282450924	0.8881530535238378	1.0770838251968575	0.8980242277657605	1.1243988278059953	1.101548135630769	1.2323354278218612	1.0521952754710655	0.5870160270847513	0.9890535203107357	0.8774774971339591	1.0272780473983147	1.1220930322103355
M93130.1	1.106221948853661	0.4144555448451516	1.131352781450915	1.3184963208805622	0.9090159428956687	1.1249444937483963	0.8096989127447161	1.0839005654225562	0.9761107644473122	1.3686960700789341	1.1873888632984582	0.5919451718668163	1.0212711887162476	1.032286252783387	0.9454679828428315	0.9965904768707344
AY632540.2	1.1213045725310642	0.4958275534544118	1.2515628764901143	1.2700103018394417	0.9793618617818548	1.02148503473944	0.850356405919966	1.1036490101531466	0.9622671952030551	1.4488705124632693	1.0508118962169817	0.498364863514762	0.9494982232946537	1.068304878629647	0.9179504015254722	1.027423960257563
U87411.1	1.130008274290445	0.4114526055285923	1.1446650923251052	1.2772873227273769	0.8696203540429637	1.0927441368699906	0.8213878963349376	1.1236554993007104	1.0625947649508523	1.3923312954931244	1.119967249945497	0.5844017119528838	0.979573736227011	1.0446658552904624	0.9708824779812211	0.9973199142584063
U88536.1	1.1190465658330042	0.451601344816152	1.1570403381332068	1.2604682788053128	0.8651366758930115	1.1011784427424347	0.8547354676626144	1.104142677352211	1.0361244109048715	1.402642818728393	1.0745341837417166	0.5997480618608566	1.0072554503216706	1.0068514168478153	0.9650491540851964	1.0134621875455507
AY632539.4	1.0428010163105161	0.5413904073966679	1.1276041161928723	1.3383182474880848	0.9173559680887984	1.0953841488597287	0.8449413118253025	1.0952589201966474	1.0391645776679412	1.4457170734653468	1.091091561088535	0.43218236424364614	1.017178456600352	0.9731523513909401	0.9757347992731549	1.031259794693106
AY193805.1	1.0456643728934052	0.5453281317474442	1.2872972596096885	1.2806748001346	0.9344700510041154	1.0189862787118507	0.8798397335290048	1.1312895275040091	1.0198587591636448	1.4414395634411354	0.9879437115554581	0.45569908276478077	1.0238978978519735	1.0201290416898996	0.9044142715408293	1.0319100180510385
