4.64	222238	0	D	2759	Eukaryota	BlackFly47
0.12	5603	6	D	2157	Archaea	BlackFly47
0.07	3397	0	D	10239	Viruses	BlackFly47
43.71	2408691	2408691	U	0	unclassified	BlackFly48
54.78	3018953	453730	D	2	Bacteria	BlackFly48
0.95	52341	0	D	2759	Eukaryota	BlackFly48
0.08	4230	0	D	2157	Archaea	BlackFly48
0.22	12216	1	D	10239	Viruses	BlackFly48
46.78	2149532	2149532	U	0	unclassified	BlackFly49
49.26	2263172	387540	D	2	Bacteria	BlackFly49
3.06	140686	5	D	2759	Eukaryota	BlackFly49
0.08	3817	9	D	2157	Archaea	BlackFly49
0.16	7270	1	D	10239	Viruses	BlackFly49
88.60	4704023	4704023	U	0	unclassified	BlackFly4
10.59	562008	116080	D	2	Bacteria	BlackFly4
0.33	17752	0	D	2759	Eukaryota	BlackFly4
0.04	2305	0	D	2157	Archaea	BlackFly4
0.18	9563	0	D	10239	Viruses	BlackFly4
71.00	4921789	4921789	U	0	unclassified	BlackFly50
27.74	1922841	282808	D	2	Bacteria	BlackFly50
0.59	40572	0	D	2759	Eukaryota	BlackFly50
0.11	7926	0	D	2157	Archaea	BlackFly50
0.29	20398	0	D	10239	Viruses	BlackFly50
47.47	2085969	2085969	U	0	unclassified	BlackFly51
47.71	2096487	250936	D	2	Bacteria	BlackFly51
3.89	170951	3	D	2759	Eukaryota	BlackFly51
0.12	5332	8	D	2157	Archaea	BlackFly51
0.09	3870	3	D	10239	Viruses	BlackFly51
67.04	4183189	4183189	U	0	unclassified	BlackFly52
31.69	1977652	185163	D	2	Bacteria	BlackFly52
0.82	51094	0	D	2759	Eukaryota	BlackFly52
0.09	5390	3	D	2157	Archaea	BlackFly52
0.06	4004	2	D	10239	Viruses	BlackFly52
67.62	5514710	5514710	U	0	unclassified	BlackFly53
30.27	2468201	570834	D	2	Bacteria	BlackFly53
1.37	112089	0	D	2759	Eukaryota	BlackFly53
0.09	7461	4	D	2157	Archaea	BlackFly53
0.14	11467	0	D	10239	Viruses	BlackFly53
54.46	2320475	2320475	U	0	unclassified	BlackFly55
39.38	1678078	500982	D	2	Bacteria	BlackFly55
4.12	175621	5	D	2759	Eukaryota	BlackFly55
0.19	7954	10	D	2157	Archaea	BlackFly55
0.16	6885	1	D	10239	Viruses	BlackFly55
48.58	2353139	2353139	U	0	unclassified	BlackFly57
47.98	2323967	305242	D	2	Bacteria	BlackFly57
2.81	136067	0	D	2759	Eukaryota	BlackFly57
0.09	4535	18	D	2157	Archaea	BlackFly57
0.12	5578	2	D	10239	Viruses	BlackFly57
51.84	2441186	2441186	U	0	unclassified	BlackFly58
40.60	1911954	480066	D	2	Bacteria	BlackFly58
4.42	208304	0	D	2759	Eukaryota	BlackFly58
0.12	5820	1	D	2157	Archaea	BlackFly58
2.16	101502	2	D	10239	Viruses	BlackFly58
42.87	1652389	1652389	U	0	unclassified	BlackFly59
52.12	2009179	172682	D	2	Bacteria	BlackFly59
4.13	159337	0	D	2759	Eukaryota	BlackFly59
0.10	3934	3	D	2157	Archaea	BlackFly59
0.09	3318	2	D	10239	Viruses	BlackFly59
75.75	6116893	6116893	U	0	unclassified	BlackFly5
23.63	1907948	128562	D	2	Bacteria	BlackFly5
0.41	32778	1	D	2759	Eukaryota	BlackFly5
0.05	4043	3	D	2157	Archaea	BlackFly5
0.03	2752	0	D	10239	Viruses	BlackFly5
79.67	5038307	5038307	U	0	unclassified	BlackFly6
19.55	1236284	132836	D	2	Bacteria	BlackFly6
0.45	28650	0	D	2759	Eukaryota	BlackFly6
0.05	3132	1	D	2157	Archaea	BlackFly6
0.13	8067	1	D	10239	Viruses	BlackFly6
78.55	3917942	3917942	U	0	unclassified	BlackFly7
19.60	977681	236168	D	2	Bacteria	BlackFly7
1.56	77596	0	D	2759	Eukaryota	BlackFly7
0.07	3693	2	D	2157	Archaea	BlackFly7
0.03	1715	2	D	10239	Viruses	BlackFly7
74.18	3697437	3697437	U	0	unclassified	BlackFly8
19.71	982660	284128	D	2	Bacteria	BlackFly8
5.11	254732	6	D	2759	Eukaryota	BlackFly8
0.09	4669	34	D	2157	Archaea	BlackFly8
0.19	9356	3	D	10239	Viruses	BlackFly8
60.33	4180900	4180900	U	0	unclassified	BlackFly9
36.08	2500465	626884	D	2	Bacteria	BlackFly9
2.48	171561	7	D	2759	Eukaryota	BlackFly9
0.11	7945	9	D	2157	Archaea	BlackFly9
0.15	10693	0	D	10239	Viruses	BlackFly9
47.40	1611504	1611504	U	0	unclassified	BlackFly_NC_1_Jill_
46.47	1579803	62037	D	2	Bacteria	BlackFly_NC_1_Jill_
5.87	199525	0	D	2759	Eukaryota	BlackFly_NC_1_Jill_
0.06	2018	1	D	2157	Archaea	BlackFly_NC_1_Jill_
0.03	1083	0	D	10239	Viruses	BlackFly_NC_1_Jill_
51.27	1647896	1647896	U	0	unclassified	BlackFly_NC_2_Jill_
41.18	1323548	66750	D	2	Bacteria	BlackFly_NC_2_Jill_
7.20	231349	0	D	2759	Eukaryota	BlackFly_NC_2_Jill_
0.07	2174	3	D	2157	Archaea	BlackFly_NC_2_Jill_
0.04	1295	12	D	10239	Viruses	BlackFly_NC_2_Jill_
24.41	509474	509474	U	0	unclassified	BlackFly_NC_3_jill_
64.76	1351856	94255	D	2	Bacteria	BlackFly_NC_3_jill_
9.87	206074	0	D	2759	Eukaryota	BlackFly_NC_3_jill_
