rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A102_length_1554_cov_9.908599_BlackFly46	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
NODE_A102_length_2949_cov_37.451950_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A1029_length_1068_cov_10.266398_BlackFly36	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Erysiphe necator associated negative-stranded RNA virus 4
NODE_A103_length_1513_cov_17.657382_BlackFly22	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA
NODE_A103_length_1769_cov_5.813239_BlackFly53	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	Drosophila suzukii associated hytrosavirus 1
NODE_A1031_length_1068_cov_2.885974_BlackFly36	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	NA	Flumine dicistrovirus 8
NODE_A104_length_2292_cov_5.077201_BlackFly59	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Poaceae Liege alphachrysovirus 3
NODE_A105_length_1497_cov_5.743662_BlackFly10	NA	NA	NA	NA	NA	NA	NA	Magnaporthe oryzae polymycovirus 2
NODE_A105_length_1688_cov_5.751086_BlackFly38	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	Plasmopara viticola lesion associated mycobunyavirales-like virus 1
NODE_A105_length_2114_cov_9.617084_BlackFly39	NA	NA	NA	NA	NA	NA	NA	Magnaporthe oryzae polymycovirus 2
NODE_A105_length_2175_cov_164.829361_BlackFly21	Riboviria	NA	NA	NA	NA	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A106_length_1489_cov_17.085694_BlackFly10	NA	NA	NA	NA	NA	NA	NA	Fusarium graminearum dsRNA mycovirus 5
NODE_A108_length_2453_cov_4.063131_BlackFly34	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A109_length_1411_cov_3.554723_BlackFly58	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	NA
NODE_A110_length_1007_cov_32.769892_BlackFly_NC_Jara_2	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	NA	Hymenopteran phenui-related virus OKIAV296
NODE_A110_length_1677_cov_4.751250_BlackFly38	NA	NA	NA	NA	NA	NA	NA	NA
NODE_A110_length_1732_cov_19.791541_BlackFly35	NA	NA	NA	NA	NA	NA	NA	Corynespora cassiicola bipartite mycovirus 1
NODE_A1100_length_1050_cov_3.021583_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A1101_length_1049_cov_82.479424_BlackFly36	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	NA
NODE_A111_length_1161_cov_11.678044_BlackFly_NC_Jara_1	Riboviria	Orthornavirae	NA	NA	NA	NA	Botybirnavirus	Sclerotinia sclerotiorum botybirnavirus 2-WX
NODE_A1119_length_1135_cov_2.758979_BlackFly43	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus iberiae
NODE_A112_length_2109_cov_6.901083_BlackFly21	Riboviria	NA	NA	NA	NA	Polymycoviridae	Polymycovirus	Fusarium redolens polymycovirus 1
NODE_A113_length_1499_cov_24.277075_BlackFly46	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Discoviridae	Orthodiscovirus	Orthodiscovirus hispaniae
NODE_A113_length_1810_cov_3.217542_BlackFly44	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Hortaea werneckii totivirus 1
NODE_A1135_length_1329_cov_3.801917_BlackFly3	NA	NA	NA	Naldaviricetes	Lefavirales	Nudiviridae	Alphanudivirus	NA
NODE_A1138_length_1407_cov_50.451880_BlackFly14	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Gammaflexiviridae	Gammaflexivirus	Gammaflexivirus PaGFV-1
NODE_A114_length_1456_cov_10.065990_BlackFly22	NA	NA	NA	NA	NA	NA	NA	NA
